itemid,label,fluid,category
52056,Hyperseg#,Ascites,Hematology
51122,Nucleated RBC,Ascites,Hematology
51129,Young,Ascites,Hematology
51124,Plasma,Ascites,Hematology
52049,Bands#,Ascites,Hematology
51121,Myelocytes,Ascites,Hematology
51448,Mesothelial Cells,Pleural,Hematology
52375,Atyps#,Pleural,Hematology
52388,Plasma#,Pleural,Hematology
51453,Other,Pleural,Hematology
52381,Histiocytes,Pleural,Hematology
51454,Plasma Cells,Pleural,Hematology
52384,Lymphs#,Pleural,Hematology
52392,Voided Specimen,Pleural,Hematology
51455,Polys,Pleural,Hematology
52377,Basos#,Pleural,Hematology
51449,Metamyelocytes,Pleural,Hematology
51442,Basophils,Pleural,Hematology
51440,Atypical Lymphocytes,Pleural,Hematology
51444,Eosinophils,Pleural,Hematology
52378,Blasts#,Pleural,Hematology
51457,"RBC, Pleural",Pleural,Hematology
51441,Bands,Pleural,Hematology
51450,Monos,Pleural,Hematology
51445,"Hematocrit, Pleural",Pleural,Hematology
52387,Myelos#,Pleural,Hematology
52390,Promyelocytes#,Pleural,Hematology
51452,NRBC,Pleural,Hematology
52379,Eos#,Pleural,Hematology
52382,Hypersegmented  Neutrophils#,Pleural,Hematology
52391,"Total Nucleated Cells, Pleural",Pleural,Hematology
51443,Blasts,Pleural,Hematology
51459,Young Cells,Pleural,Hematology
52383,Hypersegmented Neutrophils,Pleural,Hematology
52389,Polys#,Pleural,Hematology
51456,Promyelocytes,Pleural,Hematology
51446,Lymphocytes,Pleural,Hematology
52393,Young#,Pleural,Hematology
51447,Macrophages,Pleural,Hematology
51451,Myelocytes,Pleural,Hematology
52380,Histiocyte#,Pleural,Hematology
52376,Bands#,Pleural,Hematology
52385,Metas#,Pleural,Hematology
53083,NRBC,Pleural,Hematology
52386,Monos#,Pleural,Hematology
51304,CD103,Bone Marrow,Hematology
51322,CD38,Bone Marrow,Hematology
52324,CD62,Bone Marrow,Hematology
51320,CD33,Bone Marrow,Hematology
52323,CD61,Bone Marrow,Hematology
52331,TCR Alpha-Beta,Bone Marrow,Hematology
51314,CD2,Bone Marrow,Hematology
51316,CD22,Bone Marrow,Hematology
51321,CD34,Bone Marrow,Hematology
51331,CD64,Bone Marrow,Hematology
52318,Asd&na-f,Bone Marrow,Hematology
52320,CD30,Bone Marrow,Hematology
51317,CD23,Bone Marrow,Hematology
51335,FMC-7,Bone Marrow,Hematology
52325,Chloroacetate Esterase,Bone Marrow,Hematology
52317,Asd,Bone Marrow,Hematology
51339,Iron Stain,Bone Marrow,Hematology
52328,Periodic Schiff Stain,Bone Marrow,Hematology
51307,CD13,Bone Marrow,Hematology
51330,CD59,Bone Marrow,Hematology
52955,CD10,Bone Marrow,Hematology
52326,Naphthol Acetate Stain,Bone Marrow,Hematology
51306,CD11c,Bone Marrow,Hematology
51324,CD41,Bone Marrow,Hematology
51308,CD138,Bone Marrow,Hematology
51328,CD56,Bone Marrow,Hematology
52333,Tr-acid,Bone Marrow,Hematology
51309,CD14,Bone Marrow,Hematology
51312,CD16/56,Bone Marrow,Hematology
52319,CD 1a,Bone Marrow,Hematology
52316,Acid Phosphatase Stain,Bone Marrow,Hematology
52992,Iron Stain,Bone Marrow,Hematology
51305,CD117,Bone Marrow,Hematology
51318,CD25,Bone Marrow,Hematology
51323,CD4,Bone Marrow,Hematology
51336,Glyco A,Bone Marrow,Hematology
51340,Kappa,Bone Marrow,Hematology
51334,CD8,Bone Marrow,Hematology
52322,CD52,Bone Marrow,Hematology
52321,CD42,Bone Marrow,Hematology
51311,CD16,Bone Marrow,Hematology
51327,CD55,Bone Marrow,Hematology
52335,TdT,Bone Marrow,Hematology
52332,TCR Gamma-Delta,Bone Marrow,Hematology
51337,HLA-DR,Bone Marrow,Hematology
52334,Voided Specimen,Bone Marrow,Hematology
51303,CD10,Bone Marrow,Hematology
51333,CD71,Bone Marrow,Hematology
51338,Immunophenotyping,Bone Marrow,Hematology
51326,CD5,Bone Marrow,Hematology
51342,Wright Giemsa,Bone Marrow,Hematology
52330,Sudan Black Stain,Bone Marrow,Hematology
51329,CD57,Bone Marrow,Hematology
51319,CD3,Bone Marrow,Hematology
51341,Lambda,Bone Marrow,Hematology
51313,CD19,Bone Marrow,Hematology
52329,Peroxidase Stain,Bone Marrow,Hematology
51310,CD15,Bone Marrow,Hematology
51315,CD20,Bone Marrow,Hematology
51332,CD7,Bone Marrow,Hematology
52327,Naphthol Butryrate,Bone Marrow,Hematology
51325,CD45,Bone Marrow,Hematology
52305,Myelocytes,Joint Fluid,Hematology
52300,Hypersegmented Neutrophils #,Joint Fluid,Hematology
52311,Promyelocytes,Joint Fluid,Hematology
52295,Blasts#,Joint Fluid,Hematology
51372,"Joint Crystals, Location",Joint Fluid,Hematology
52302,Lymphs#,Joint Fluid,Hematology
52314,Young,Joint Fluid,Hematology
51366,Bands,Joint Fluid,Hematology
51375,Lymphocytes,Joint Fluid,Hematology
52297,Histio#,Joint Fluid,Hematology
51369,"Hematocrit, Joint Fluid",Joint Fluid,Hematology
51370,"Joint Crystals, Birefringence",Joint Fluid,Hematology
52294,Blasts,Joint Fluid,Hematology
52291,Atyps#,Joint Fluid,Hematology
51380,NRBC,Joint Fluid,Hematology
51383,"RBC, Joint Fluid",Joint Fluid,Hematology
52315,Young#,Joint Fluid,Hematology
51376,Macrophage,Joint Fluid,Hematology
52304,Monos#,Joint Fluid,Hematology
52312,"Total Nucleated Cells, Joint",Joint Fluid,Hematology
51379,Monocytes,Joint Fluid,Hematology
51365,Atypical Lymphocytes,Joint Fluid,Hematology
51371,"Joint Crystals, Comment",Joint Fluid,Hematology
52306,Myelos#,Joint Fluid,Hematology
53012,NRBC,Joint Fluid,Hematology
52298,Histiocyte,Joint Fluid,Hematology
52301,Lining Cell,Joint Fluid,Hematology
51377,Mesothelial Cells,Joint Fluid,Hematology
52313,Voided Specimen,Joint Fluid,Hematology
51367,Basophils,Joint Fluid,Hematology
51378,Metamyelocytes,Joint Fluid,Hematology
52299,Hypersegmented Neutrophils,Joint Fluid,Hematology
52308,Plasma#,Joint Fluid,Hematology
51374,"Joint Crystals, Shape",Joint Fluid,Hematology
52296,Eos#,Joint Fluid,Hematology
52310,Promyelo#,Joint Fluid,Hematology
51373,"Joint Crystals, Number",Joint Fluid,Hematology
52309,Polys#,Joint Fluid,Hematology
51368,Eosinophils,Joint Fluid,Hematology
52293,Basos#,Joint Fluid,Hematology
51382,Polys,Joint Fluid,Hematology
52307,Plasma,Joint Fluid,Hematology
51381,Other,Joint Fluid,Hematology
52292,Bands#,Joint Fluid,Hematology
52303,Metas#,Joint Fluid,Hematology
51393,CD138,Other Body Fluid,Hematology
52372,Young#,Other Body Fluid,Hematology
52367,TCR Alpha-Beta,Other Body Fluid,Hematology
51391,CD11c,Other Body Fluid,Hematology
51403,CD25,Other Body Fluid,Hematology
51409,CD4/CD8 Ratio,Other Body Fluid,Hematology
51396,CD16,Other Body Fluid,Hematology
51389,CD103,Other Body Fluid,Hematology
52339,Blasts,Other Body Fluid,Hematology
51394,CD14,Other Body Fluid,Hematology
51398,CD19,Other Body Fluid,Hematology
51399,CD2,Other Body Fluid,Hematology
51427,Lymphocytes,Other Body Fluid,Hematology
52340,Blasts#,Other Body Fluid,Hematology
52349,Chloroac,Other Body Fluid,Hematology
51385,Atypical Lymphocytes,Other Body Fluid,Hematology
52358,Lining Cell,Other Body Fluid,Hematology
51432,Myelocytes,Other Body Fluid,Hematology
51412,CD5,Other Body Fluid,Hematology
51410,CD41,Other Body Fluid,Hematology
52364,Plasma#,Other Body Fluid,Hematology
51413,CD56,Other Body Fluid,Hematology
51421,Glyco A,Other Body Fluid,Hematology
52336,Atyps#,Other Body Fluid,Hematology
52342,CD30,Other Body Fluid,Hematology
52346,CD59,Other Body Fluid,Hematology
52356,Hypersegmented Neutrophils#,Other Body Fluid,Hematology
52360,Metamyelocytes#,Other Body Fluid,Hematology
51436,Polys,Other Body Fluid,Hematology
52350,Eos#,Other Body Fluid,Hematology
52359,Lymphs#,Other Body Fluid,Hematology
52371,Young,Other Body Fluid,Hematology
52355,Hypersegmented Neutrophils,Other Body Fluid,Hematology
52363,NRBC#,Other Body Fluid,Hematology
52337,Bands#,Other Body Fluid,Hematology
51430,Metamyelocytes,Other Body Fluid,Hematology
52354,Histiocytes,Other Body Fluid,Hematology
52370,Voided Specimen,Other Body Fluid,Hematology
51408,CD4,Other Body Fluid,Hematology
51422,"Hematocrit, Other Fluid",Other Body Fluid,Hematology
51429,Mesothelial cells,Other Body Fluid,Hematology
51434,Other Cell,Other Body Fluid,Hematology
52353,Histiocyte#,Other Body Fluid,Hematology
52365,Polys#,Other Body Fluid,Hematology
51401,CD22,Other Body Fluid,Hematology
51428,Macrophage,Other Body Fluid,Hematology
51437,Promyelocytes,Other Body Fluid,Hematology
51404,CD3,Other Body Fluid,Hematology
51386,Bands,Other Body Fluid,Hematology
51417,CD71,Other Body Fluid,Hematology
51424,Immunophenotyping,Other Body Fluid,Hematology
51426,Lambda,Other Body Fluid,Hematology
52351,Fetal Hgb,Other Body Fluid,Hematology
51397,CD16/56,Other Body Fluid,Hematology
52373,TdT,Other Body Fluid,Hematology
51388,CD10,Other Body Fluid,Hematology
51402,CD23,Other Body Fluid,Hematology
51418,CD8,Other Body Fluid,Hematology
51400,CD20,Other Body Fluid,Hematology
51405,CD33,Other Body Fluid,Hematology
52345,CD55,Other Body Fluid,Hematology
51416,CD7,Other Body Fluid,Hematology
51420,FMC-7,Other Body Fluid,Hematology
51387,Basophils,Other Body Fluid,Hematology
51423,HLA-DR,Other Body Fluid,Hematology
52361,Monos#,Other Body Fluid,Hematology
51407,CD38,Other Body Fluid,Hematology
51415,CD64,Other Body Fluid,Hematology
51395,CD15,Other Body Fluid,Hematology
52366,Promyelocyte#,Other Body Fluid,Hematology
51425,Kappa,Other Body Fluid,Hematology
52338,Basos#,Other Body Fluid,Hematology
52344,CD52,Other Body Fluid,Hematology
52347,CD61,Other Body Fluid,Hematology
51390,CD117,Other Body Fluid,Hematology
51392,CD13,Other Body Fluid,Hematology
52348,CD62,Other Body Fluid,Hematology
51414,CD57,Other Body Fluid,Hematology
51433,NRBC,Other Body Fluid,Hematology
51438,"RBC, Other Fluid",Other Body Fluid,Hematology
52362,Myelos#,Other Body Fluid,Hematology
51435,Plasma,Other Body Fluid,Hematology
52368,TCR Gamma-Delta,Other Body Fluid,Hematology
51411,CD45,Other Body Fluid,Hematology
51419,Eosinophils,Other Body Fluid,Hematology
52357,Iron,Other Body Fluid,Hematology
52369,"Total Nucleated Cells, Other",Other Body Fluid,Hematology
52374,,Other Body Fluid,Hematology
51431,Monos,Other Body Fluid,Hematology
52343,CD42,Other Body Fluid,Hematology
52352,FETAL LUNG MATURITY - LBC,Other Body Fluid,Hematology
51406,CD34,Other Body Fluid,Hematology
52341,CD 1a,Other Body Fluid,Hematology
52224,Bands#,Cerebrospinal Fluid,Hematology
52274,Myelocytes,Cerebrospinal Fluid,Hematology
52228,Blasts#,Cerebrospinal Fluid,Hematology
52241,Delete,Cerebrospinal Fluid,Hematology
52283,Promyelocytes,Cerebrospinal Fluid,Hematology
52289,Young#,Cerebrospinal Fluid,Hematology
52248,Delete,Cerebrospinal Fluid,Hematology
52258,Histiocyte,Cerebrospinal Fluid,Hematology
52282,Polys#,Cerebrospinal Fluid,Hematology
52244,Delete,Cerebrospinal Fluid,Hematology
52271,Metas#,Cerebrospinal Fluid,Hematology
52226,Basos#,Cerebrospinal Fluid,Hematology
52240,Delete,Cerebrospinal Fluid,Hematology
52269,Mesothelial cells #,Cerebrospinal Fluid,Hematology
52222,Atyps#,Cerebrospinal Fluid,Hematology
52239,Delete,Cerebrospinal Fluid,Hematology
52242,Delete,Cerebrospinal Fluid,Hematology
52279,Plasma,Cerebrospinal Fluid,Hematology
52284,Promyelocytes#,Cerebrospinal Fluid,Hematology
52237,Delete,Cerebrospinal Fluid,Hematology
52288,Young,Cerebrospinal Fluid,Hematology
52223,Bands,Cerebrospinal Fluid,Hematology
52227,Blasts,Cerebrospinal Fluid,Hematology
52254,Delete,Cerebrospinal Fluid,Hematology
52277,NRBC#,Cerebrospinal Fluid,Hematology
52225,Basophils,Cerebrospinal Fluid,Hematology
52238,Delete,Cerebrospinal Fluid,Hematology
52270,Metamyelocytes,Cerebrospinal Fluid,Hematology
52261,Hypersegmented Neutrophils #,Cerebrospinal Fluid,Hematology
52263,Lining Cell,Cerebrospinal Fluid,Hematology
52276,NRBC,Cerebrospinal Fluid,Hematology
52257,"Hematocrit, CSF",Cerebrospinal Fluid,Hematology
52260,Hypersegmented Neutrophils,Cerebrospinal Fluid,Hematology
52268,Mesothelial cells,Cerebrospinal Fluid,Hematology
52247,Delete,Cerebrospinal Fluid,Hematology
52278,Other,Cerebrospinal Fluid,Hematology
52233,Delete,Cerebrospinal Fluid,Hematology
52236,Delete,Cerebrospinal Fluid,Hematology
52285,"RBC, CSF",Cerebrospinal Fluid,Hematology
52229,Delete,Cerebrospinal Fluid,Hematology
52267,Macrophage#,Cerebrospinal Fluid,Hematology
52255,Eos#,Cerebrospinal Fluid,Hematology
52273,Monos#,Cerebrospinal Fluid,Hematology
52280,Plasma#,Cerebrospinal Fluid,Hematology
52221,Atypical Lymphocytes,Cerebrospinal Fluid,Hematology
52234,Delete,Cerebrospinal Fluid,Hematology
52287,Voided Specimen,Cerebrospinal Fluid,Hematology
52272,Monocytes,Cerebrospinal Fluid,Hematology
52243,Delete,Cerebrospinal Fluid,Hematology
52250,Delete,Cerebrospinal Fluid,Hematology
52286,"Total Nucleated Cells, CSF",Cerebrospinal Fluid,Hematology
52235,Delete,Cerebrospinal Fluid,Hematology
52246,Delete,Cerebrospinal Fluid,Hematology
52231,Delete,Cerebrospinal Fluid,Hematology
52264,Lymphs,Cerebrospinal Fluid,Hematology
52252,Delete,Cerebrospinal Fluid,Hematology
52230,Delete,Cerebrospinal Fluid,Hematology
52232,Delete,Cerebrospinal Fluid,Hematology
52245,Delete,Cerebrospinal Fluid,Hematology
52253,Delete,Cerebrospinal Fluid,Hematology
52256,Eosinophils,Cerebrospinal Fluid,Hematology
52281,Polys,Cerebrospinal Fluid,Hematology
52249,Delete,Cerebrospinal Fluid,Hematology
52251,Delete,Cerebrospinal Fluid,Hematology
52266,Macrophage,Cerebrospinal Fluid,Hematology
52262,Immunophenotyping,Cerebrospinal Fluid,Hematology
52265,Lymphs#,Cerebrospinal Fluid,Hematology
226228,Gender,,ADT
226545,Race,,ADT
229877,Suction events (CH),,ECMO
229875,Oxygenator visible (CH),,ECMO
229266,Cannula sites visually inspected (ECMO),,ECMO
229846,Sweep (CH),,ECMO
229267,Emergency Equipment at bedside (ECMO),,ECMO
229269,Circuit inspected for clot (ECMO),,ECMO
229876,Pump plugged into RED outlet (CH),,ECMO
229274,Oxygenator visible (ECMO),,ECMO
229278,Sweep (ECMO),,ECMO
229874,Flow Sensor repositioned (CH),,ECMO
229273,Flow Sensor repositioned (ECMO),,ECMO
229268,Circuit Configuration (ECMO),,ECMO
229873,Emergency Equipment at bedside (CH),,ECMO
229275,Pump plugged into RED outlet (ECMO),,ECMO
229879,Cannula sites visually inspected (CH),,ECMO
229840,Circuit Configuration (CH),,ECMO
229878,Circuit inspected for clot (CH),,ECMO
229276,Suction events (ECMO),,ECMO
220120,Intra Aortic Ballon Pump Setting,,IABP
227980,Intra Aortic Balloon Pump Setting,,IABP
230035,Accessory muscle use.,,RDOS
230038,Look of fear,,RDOS
230040,Paradoxical breathing,,RDOS
230037,HR per min,,RDOS
230036,Grunting,,RDOS
230042,RR per min,,RDOS
230039,Nasal flaring.,,RDOS
230041,Restlessness.,,RDOS
227585,GI Guaiac,,GI/GU
224444,GI #3 Tube Place Check,,GI/GU
227590,GI #3 Tube Place Method,,GI/GU
224019,Bladder Irrigation,,GI/GU
224792,GI #3 Tube Status,,GI/GU
224814,GI #1 Tube Place Method,,GI/GU
223999,Oral Cavity,,GI/GU
224000,Nares R,,GI/GU
224796,Ostomy,,GI/GU
224816,GI #2 Tube Place Method,,GI/GU
224442,GI #3 Intub Site,,GI/GU
228308,GI #1 Tube Place Method,,GI/GU
227589,GI #2 Tube Place Method,,GI/GU
229354,Foley Cath Insertion Location,,GI/GU
224876,Urine Appearance,,GI/GU
228307,GI #1 Tube Place Check,,GI/GU
224005,Flatus,,GI/GU
224446,GI #3 Tube Drainage,,GI/GU
227588,GI #1 Tube Place Method,,GI/GU
224003,Abdominal Assessment,,GI/GU
224441,GI #2 Intub Site,,GI/GU
224016,Urine Color,,GI/GU
224879,Nares L,,GI/GU
227968,All Medications Tolerated without Adverse Side Effects,,GI/GU
224006,Emesis Appearance,,GI/GU
230033,Stool Management,,GI/GU
224004,Bowel Sounds,,GI/GU
224788,GI #2 Tube Type,,GI/GU
224012,Stool Management,,GI/GU
224013,Stool Guaiac,,GI/GU
224789,GI #2 Tube Status,,GI/GU
228312,GI #3 Tube Place Method,,GI/GU
224001,Diet Type,,GI/GU
224443,GI #2 Tube Place Check,,GI/GU
224818,GI #3 Tube Place Method,,GI/GU
228714,Bladder scanned,,GI/GU
224797,Ostomy Appearance,,GI/GU
224010,GI #1 Tube Place Check,,GI/GU
224009,GI #1 Tube Drainage,,GI/GU
224785,GI #1 Tube Type,,GI/GU
228309,GI #2 Tube Place Check,,GI/GU
224011,Stool Consistency,,GI/GU
224015,Urine Source,,GI/GU
224445,GI #2 Tube Drainage,,GI/GU
224017,GU Catheter Size,,GI/GU
224007,GI #1 Intub Site,,GI/GU
224791,GI #3 Tube Type,,GI/GU
228311,GI #3 Tube Place Check,,GI/GU
228310,GI #2 Tube Place Method,,GI/GU
224786,GI #1 Tube Status,,GI/GU
224794,Stool Color,,GI/GU
228372,Leg Raise Result (NICOM),,NICOM
228373,Passive Leg Raise Performed,,NICOM
229497,Final Position confirmed (SBNET),,SBNET
229482,Hand cleansing prior to procedure  (SBNET),,SBNET
229483,Barrier precautions in place  (SBNET),,SBNET
229479,Timeout performed by  (SBNET),,SBNET
229481,Verification of  (SBNET),,SBNET
229499,Order to use in POE (SBNET),,SBNET
229480,Patient identified correctly  (SBNET),,SBNET
229486,Topical Lidocaine used (SBNET),,SBNET
229477,Indications (SBNET),,SBNET
229489,Complications (SBNET),,SBNET
229484,Route  (SBNET),,SBNET
229498,Guidewire removed (SBNET),,SBNET
229487,2 Stage CXR Insertion Technique (SBNET),,SBNET
227539,ART Blood Pressure Alarm Source,,Alarms
227241,PAP Alarm Source,,Alarms
229629,PAP Alarm Source (Veletri),,Alarms
227239,ABP Alarm Source,,Alarms
227240,NBP Alarm Source,,Alarms
227648,Clots,,OB-GYN
227650,Fundus Location (Breadth),,OB-GYN
227642,Breast Feeding,,OB-GYN
227654,Reflexes LE,,OB-GYN
227653,Pad Change/Hour,,OB-GYN
227652,Lochia Estimate,,OB-GYN
227655,Reflexes UE,,OB-GYN
227644,Breast Feeding - R,,OB-GYN
227651,Lochia Character,,OB-GYN
227649,Fundus Character,,OB-GYN
227643,Breast Feeding - L,,OB-GYN
226586,Stool Estimate,,Output
226713,Incontinent/voids (estimate),,Output
227487,GU Irrigant Type,,Output
223759,Precautions: Standard +,,General
227089,Discharge to,,General
223760,Health Care Proxy,,General
227088,Admit from,,General
224640,Service,,General
227485,Print Job,,General
227486,Printer,,General
223758,Code Status,,General
220001,Problem List,,General
228153,Dual Signal Screen,,Impella
228156,Performance Level,,Impella
229670,Dual Signal Screen (R),,Impella
229676,Placement Monitoring Screen (R),,Impella
228157,Placement Monitoring Screen,,Impella
229675,Performance Level (R),,Impella
229679,Type of Catheter (Impella),,Impella
225976,Replacement Fluid,,Dialysis
225958,Heparin Concentration (units/mL),,Dialysis
227290,CRRT mode,,Dialysis
224139,Dialysis Site Appearance,,Dialysis
225977,Dialysate Fluid,,Dialysis
230083,Replacement Fluid (Pre-Filter),,Dialysis
225956,Reason for CRRT Filter Change,,Dialysis
227638,Medication Added #2 (Peritoneal Dialysis),,Dialysis
225953,Solution (Peritoneal Dialysis),,Dialysis
225954,Dialysis Access Type,,Dialysis
225952,Medication Added #1 (Peritoneal Dialysis),,Dialysis
225961,Medication Added Units #1 (Peritoneal Dialysis),,Dialysis
225965,Peritoneal Dialysis Catheter Status,,Dialysis
227640,Medication Added Units #2 (Peritoneal Dialysis),,Dialysis
230084,Replacement Fluid (Post-Filter),,Dialysis
224146,System Integrity,,Dialysis
225951,Peritoneal Dialysis Fluid Appearance,,Dialysis
225963,Peritoneal Dialysis Catheter Type,,Dialysis
230085,Dialysate Fluid,,Dialysis
224135,Dialysis Access Site,,Dialysis
227835,UE Dressing,,OT Notes
227839,Home Management,,OT Notes
227831,Grooming,,OT Notes
227846,Supine / Side-lying to Sit,,OT Notes
227929,Position - Recovery - Aerobic Activity Response,,OT Notes
227847,Sit to Stand,,OT Notes
227837,Toileting,,OT Notes
227832,UE Bathing,,OT Notes
227840,Money Management,,OT Notes
227943,Anticipated Discharge,,OT Notes
227855,Assistive Device,,OT Notes
227853,Other (Activity); Specify,,OT Notes
227834,LE Bathing,,OT Notes
227845,Rolling,,OT Notes
227922,Position - Activity - Aerobic Activity Response,,OT Notes
227915,Position - Rest - Aerobic Activity Response,,OT Notes
227848,Transfer,,OT Notes
227841,Community Integration,,OT Notes
227836,LE Dressing,,OT Notes
227830,Self Feeding,,OT Notes
227849,Toilet,,OT Notes
227850,Commode,,OT Notes
227881,Pain (0-10),,OT Notes
227851,Shower / Tub,,OT Notes
227854,Weight Bearing Status,,OT Notes
229251,Cannula sites visually inspected (RVAD),,Centrimag
229260,Flow Sensor repositioned (LVAD),,Centrimag
229250,Cannula sites visually inspected (LVAD),,Centrimag
229264,Suction events (LVAD),,Centrimag
229252,Emergency Equipment at bedside (LVAD),,Centrimag
229261,Flow Sensor repositioned (RVAD),,Centrimag
229253,Emergency Equipment at bedside (RVAD),,Centrimag
229265,Suction events (RVAD),,Centrimag
229309,Backup Controller (HeartWare),,Heartware
229323,Current Dyspnea Assessment,,Pulmonary
223995,CT #1 Fluctuate,,Pulmonary
223991,Cough Effort,,Pulmonary
224806,CT #1 Suction Type,,Pulmonary
223988,LUL Lung Sounds,,Pulmonary
224424,CT #2 Drainage,,Pulmonary
224434,CT #3 Fluctuate,,Pulmonary
224779,CT #3 Leak,,Pulmonary
223992,Cough Type,,Pulmonary
224427,CT #2 Suction Amount,,Pulmonary
223986,RUL Lung Sounds,,Pulmonary
224439,Chest Tube Site #3,,Pulmonary
224433,CT #4 Dressing,,Pulmonary
224440,Chest Tube Site #4,,Pulmonary
223994,CT #1 Suction Amount,,Pulmonary
224438,Chest Tube Site # 2,,Pulmonary
224423,CT #2 Crepitus,,Pulmonary
224808,CT #2 Suction Type,,Pulmonary
223987,RLL Lung Sounds,,Pulmonary
224775,CT #1 Leak,,Pulmonary
223989,LLL Lung Sounds,,Pulmonary
224435,CT #4 Fluctuate,,Pulmonary
229322,Breathing pattern/effort,,Pulmonary
223985,Respiratory Pattern,,Pulmonary
224428,CT #3 Crepitus,,Pulmonary
224432,CT #3 Dressing,,Pulmonary
224781,CT #4 Leak,,Pulmonary
223998,CT #1 Crepitus,,Pulmonary
224436,CT #3 Suction Amount,,Pulmonary
223993,Chest Tube Site # 1,,Pulmonary
224425,CT #2 Dressing,,Pulmonary
224426,CT #2 Fluctuate,,Pulmonary
224810,CT #3 Suction Type,,Pulmonary
224431,CT #4 Drainage,,Pulmonary
223996,CT #1 Drainage,,Pulmonary
224437,CT #4 Suction Amount,,Pulmonary
224777,CT #2 Leak,,Pulmonary
224812,CT #4 Suction Type,,Pulmonary
223990,Respiratory Effort,,Pulmonary
224429,CT #4 Crepitus,,Pulmonary
223997,CT #1 Dressing,,Pulmonary
224430,CT #3 Drainage,,Pulmonary
229111,Safety Restraints NCP - Problem resolved,,Care Plans
229123,Elimination NCP - Plan revised,,Care Plans
229369,Acuity Workload Question 1,,Care Plans
228997,Discharge NCP - Interventions,,Care Plans
229147,Metabolic disturbance NCP - Plan revised,,Care Plans
229349,Impaired Mobility NCP - Problem resolved,,Care Plans
229330,Activity Intolerance  NCP - Interventions,,Care Plans
228966,Nutrition  NCP - Interventions,,Care Plans
229102,Infection NCP - Plan revised,,Care Plans
229129,Altered Sensory Perception NCP - Problem resolved,,Care Plans
228912,Altered Skin Integrity NCP - Goal,,Care Plans
228968,Nutrition  NCP - outcomes met,,Care Plans
229126,Altered Sensory Perception NCP - Interventions,,Care Plans
228977,Altered Mental Status  NCP - Interventions,,Care Plans
229089,Altered Mental Status  NCP - Problem resolved,,Care Plans
229091,Altered Respiratory Status NCP - Problem resolved,,Care Plans
229339,Domestic Violence NCP - Interventions,,Care Plans
229641,Stroke NCP - Consults,,Care Plans
229649,Stroke NCP - Type,,Care Plans
229977,COVID NCP - Interventions,,Care Plans
229088,Altered Mental Status  NCP - Plan revised,,Care Plans
229110,Safety Restraints NCP - Plan revised,,Care Plans
229145,Metabolic disturbance NCP - Interventions,,Care Plans
229335,Activity Intolerance NCP - Goal,,Care Plans
229104,Nutrition  NCP - Plan revised,,Care Plans
229652,Stroke NCP - Interventions,,Care Plans
229974,COVID NCP - Problem,,Care Plans
228986,Safety Restraints NCP - Goal,,Care Plans
229108,Post-op Care NCP - Plan revised,,Care Plans
229120,Sensory disturbance NCP - Expected outcomes,,Care Plans
229136,Substance withdrawal NCP - Expected outcomes,,Care Plans
229344,Impaired Mobility NCP - Expected outcomes,,Care Plans
228935,Post-op Care NCP - Goal,,Care Plans
228973,Altered Mental Status  NCP - Expected outcomes,,Care Plans
229124,Altered Sensory Perception NCP - Expected Outcomes,,Care Plans
229342,Domestic Violence NCP - Problem resolved,,Care Plans
229648,Stroke NCP - Problem resolved,,Care Plans
229327,Activity Intolerance  NCP - Expected outcomes,,Care Plans
228945,Infection NCP - Goal,,Care Plans
228999,Discharge NCP - Outcomes met,,Care Plans
229143,Metabolic disturbance NCP - Expected outcomes,,Care Plans
229148,Metabolic disturbance NCP - Problem resolved,,Care Plans
228903,Altered Respiratory Status NCP - Goal,,Care Plans
228905,Altered Respiratory Status NCP - Interventions,,Care Plans
229001,Self harm NCP - Expected outcomes,,Care Plans
229112,Self harm NCP - Plan revised,,Care Plans
229152,Palliative Care NCP - Interventions,,Care Plans
229333,Activity Intolerance NCP - Plan revised,,Care Plans
229343,Domestic Violence NCP - Plan revised,,Care Plans
228943,Infection NCP - Expected outcomes,,Care Plans
228975,Altered Mental Status  NCP - Goal,,Care Plans
229118,Sensory disturbance NCP - Interventions,,Care Plans
229347,Impaired Mobility  NCP - Interventions,,Care Plans
229646,Stroke NCP - Plan revised,,Care Plans
228898,Impaired Fluid Balance NCP - Interventions,,Care Plans
228955,Coping/Knowledge Deficit  NCP - Goal,,Care Plans
228988,Safety Restraints NCP - Interventions,,Care Plans
228964,Nutrition  NCP - Goal,,Care Plans
229097,Discharge NCP - Problem resolved,,Care Plans
229128,Altered Sensory Perception NCP - Plan revised,,Care Plans
229138,Substance withdrawal NCP - Interventions,,Care Plans
228971,Nutrition NCP - Body needs,,Care Plans
229005,Self harm NCP - Outcomes met,,Care Plans
229141,Substance withdrawal NCP - Problem resolved,,Care Plans
228993,Discharge NCP - Expected outcomes,,Care Plans
229134,Elimination NCP - Interventions,,Care Plans
229980,COVID NCP - Problem resolved,,Care Plans
228928,Impaired Tissue Perfusion NCP - Interventions,,Care Plans
228933,Post-op Care NCP - Expected outcomes,,Care Plans
229113,Self harm NCP - Problem resolved,,Care Plans
228890,Pain NCP - Interventions,,Care Plans
228907,Altered Respiratory Status NCP - outcomes met,,Care Plans
228888,Pain NCP - Expected outcomes,,Care Plans
229095,Coping/Knowledge Deficit  NCP - Problem resolved,,Care Plans
229332,Activity Intolerance  NCP - outcomes met,,Care Plans
